img,title,link,stepbystep,cuisine,portions,time,ingredients,favourite,likes,dislikes
https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131085624-171210104827-p-O-amerikanskie-bliny.jpg,Американские блины,https://eda.ru/recepty/zavtraki/amerikanskie-bliny-30600,0,Американская кухня,10,20 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""1 чайная ложка""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""3 столовые ложки""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""2 стакана""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""2 стакана""}', '{""id"": 15321, ""name"": ""Гашеная сода"", ""amount"": ""1 чайная ложка""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""¼ стакана""}']",18977,3033,283
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120213175531-180415114517-p-O-sirniki-iz-tvoroga.jpg,Сырники из творога,https://eda.ru/recepty/zavtraki/sirniki-iz-tvoroga-18506,1,Русская кухня,2,30 минут,"['{""id"": 13493, ""name"": ""Творог"", ""amount"": ""500 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""6 столовых ложек""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""2 столовые ложки""}', '{""id"": 13994, ""name"": ""Подсолнечное масло"", ""amount"": ""5 столовых ложек""}']",24505,2769,260
https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/130713154821-130723190525-p-O-ojakodon-japonskij-omlet-s-risom-kuricej.jpg,Оякодон (японский омлет с рисом и курицей),https://eda.ru/recepty/zavtraki/ojakodon-japonskij-omlet-s-risom-kuricej-28425,1,Японская кухня,1,30 минут,"['{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""1 головка""}', '{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""300 г""}', '{""id"": 13435, ""name"": ""Рис"", ""amount"": ""½ стакана""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13570, ""name"": ""Соевый соус"", ""amount"": ""6 столовых ложек""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""2 столовые ложки""}', '{""id"": 13535, ""name"": ""Зеленый лук"", ""amount"": ""20 г""}']",12409,940,95
https://img05.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131090525-120213185012-p-O-omlet-s-pomidorami.jpg,Омлет с помидорами,https://eda.ru/recepty/zavtraki/omlet-s-pomidorami-21293,0,,1,10 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""1 штука""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""⅓ чайной ложки""}', '{""id"": 13994, ""name"": ""Подсолнечное масло"", ""amount"": ""1 столовая ложка""}']",5366,820,104
https://img03.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131085434-171123124157-p-O-amerikanskie-pankejki-s-koricej.jpg,Американские панкейки с корицей,https://eda.ru/recepty/zavtraki/amerikanskie-pankejki-s-koricej-31193,1,Американская кухня,4,30 минут,"['{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""240 г""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""220 мл""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""2 столовые ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""4 штуки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""щепотка""}', '{""id"": 15321, ""name"": ""Гашеная сода"", ""amount"": ""0,2 чайной ложки""}', '{""id"": 14485, ""name"": ""Молотая корица"", ""amount"": ""по вкусу""}']",11759,717,88
https://img07.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131082543-170521082302-p-O-klassicheskij-francuzskij-omlet-s-sirom.jpg,Классический французский омлет с сыром,https://eda.ru/recepty/zavtraki/klassicheskij-francuzskij-omlet-s-sirom-18154,0,Французская кухня,1,15 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""1 чайная ложка""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""50 г""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""1 столовая ложка""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",6725,648,65
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131090259-180124091454-p-O-bananovie-pankejki.jpg,Банановые панкейки,https://eda.ru/recepty/zavtraki/bananovie-pankejki-35975,1,Американская кухня,3,1 час,"['{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""90 г""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""150 мл""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""20 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""20 г""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""щепотка""}', '{""id"": 13672, ""name"": ""Разрыхлитель"", ""amount"": ""2 чайные ложки""}', '{""id"": 13590, ""name"": ""Сода"", ""amount"": ""½ чайной ложки""}', '{""id"": 13547, ""name"": ""Бананы"", ""amount"": ""1 штука""}']",8036,527,87
https://img01.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/151223165017-160101123120-p-O-zavtrak-dlja-lenivih.jpg,Завтрак для ленивых,https://eda.ru/recepty/zavtraki/zavtrak-dlja-lenivih-21975,1,Русская кухня,3,15 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 14341, ""name"": ""Мягкий творог"", ""amount"": ""200 г""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""30 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",10032,504,104
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/130829212936-130904175634-p-O-omlet-s-mocarelloj-pomidorami.jpg,Омлет с моцареллой и помидорами,https://eda.ru/recepty/zavtraki/omlet-s-mocarelloj-pomidorami-17598,0,Итальянская кухня,1,5 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13518, ""name"": ""Помидоры черри"", ""amount"": ""4 штуки""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""20 г""}', '{""id"": 13519, ""name"": ""Сыр моцарелла"", ""amount"": ""50 г""}', '{""id"": 13993, ""name"": ""Зеленый базилик "", ""amount"": ""20 г""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",7521,470,32
https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/130907154434-130917015224-p-O-nastojashhie-amerikanskie-pankejki-american-pancakes.jpg,Настоящие американские панкейки (American…,https://eda.ru/recepty/zavtraki/nastojashhie-amerikanskie-pankejki-american-pancakes-38793,0,Американская кухня,1,30 минут,"['{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""140 г""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""200 мл""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13672, ""name"": ""Разрыхлитель"", ""amount"": ""1 чайная ложка""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""40 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""1 столовая ложка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""щепотка""}']",7181,422,61
